"Scheme","DXCC","Reference","Name","Type","Lat","Long","Locator","Roc Code","Historic County","Nearest Postcode","Roc Master_post","Roc Group_hq",""
"UKBOTA","223","B/G-0001","ROC Post Pavenham","ROC Bunker","52.18983","-0.58041","IO92RE","BED","Bedfordshire","MK43 7NB","","","🗺️"
"UKBOTA","223","B/G-0002","ROC Post Toddington","ROC Bunker","51.92689","-0.53375","IO91RW","OXF","Bedfordshire","LU5 6JL","","","🗺️"
"UKBOTA","223","B/G-0003","ROC Post Ampthill","ROC Bunker","52.02972","-0.50298","IO92RA","BED","Bedfordshire","MK45 2GT","","","🗺️"
"UKBOTA","223","B/G-0004","ROC Post Riseley","ROC Bunker","52.25162","-0.46754","IO92SG","BED","Bedfordshire","MK44 1DP","","","🗺️"
"UKBOTA","223","B/G-0005","ROC Post Ravensden","ROC Bunker","52.16761","-0.41721","IO92SE","BED","Bedfordshire","MK41 0JJ","","","🗺️"
"UKBOTA","223","B/G-0006","ROC Post Sandy Master Post","ROC Bunker","52.13343","-0.31921","IO92UD","BED","Bedfordshire","MK44 3DE","true","","🗺️"
"UKBOTA","223","B/G-0007","ROC Post Shefford","ROC Bunker","52.03247","-0.31367","IO92UA","BED","Bedfordshire","SG17 5PT","","","🗺️"
"UKBOTA","223","B/G-0008","ROC Post Ashbury Master Post","ROC Bunker","51.55945","-1.61019","IO91EN","OXF","Berkshire","SN6 8LZ","true","","🗺️"
"UKBOTA","223","B/G-0009","ROC Post Great Shefford","ROC Bunker","51.46301","-1.46001","IO91GL","WIN","Berkshire","RG17 7ED","","","🗺️"
"UKBOTA","223","B/G-0010","ROC Post Wantage","ROC Bunker","51.58169","-1.41979","IO91GN","OXF","Berkshire","OX12 8PB","","","🗺️"
"UKBOTA","223","B/G-0011","ROC Post Longworth","ROC Bunker","51.69382","-1.40504","IO91HQ","OXF","Berkshire","OX13 5LT","","","🗺️"
"UKBOTA","223","B/G-0012","ROC Post Newbury Master Post","ROC Bunker","51.38352","-1.35274","IO91HJ","WIN","Berkshire","RG14 6RD","true","","🗺️"
"UKBOTA","223","B/G-0013","ROC Post East Ilsley","ROC Bunker","51.52334","-1.30493","IO91IM","WIN","Berkshire","RG20 7DJ","","","🗺️"
"UKBOTA","223","B/G-0014","ROC Post Cold Ash","ROC Bunker","51.42070","-1.25457","IO91IK","WIN","Berkshire","RG18 9HT","","","🗺️"
"UKBOTA","223","B/G-0015","ROC Post Streatley Master Post","ROC Bunker","51.51619","-1.17389","IO91JM","WIN","Berkshire","RG8 9RE","true","","🗺️"
"UKBOTA","223","B/G-0016","ROC Post Bradfield","ROC Bunker","51.43696","-1.13432","IO91KK","WIN","Berkshire","RG7 6AD","","","🗺️"
"UKBOTA","223","B/G-0017","ROC Post Arborfield","ROC Bunker","51.39032","-0.91128","IO91NJ","WIN","Berkshire","RG2 9JS","","","🗺️"
"UKBOTA","223","B/G-0018","ROC Post Shurlock Row","ROC Bunker","51.46563","-0.82268","IO91OL","WIN","Berkshire","RG10 0PJ","","","🗺️"
"UKBOTA","223","B/G-0019","ROC Post Crowthorne","ROC Bunker","51.37256","-0.78757","IO91OI","HOR","Berkshire","RG45 6SR","","","🗺️"
"UKBOTA","223","B/G-0020","ROC Post Ascot","ROC Bunker","51.41675","-0.67438","IO91PK","HOR","Berkshire","SL5 7LJ","","","🗺️"
"UKBOTA","223","B/G-0021","ROC Post Windsor","ROC Bunker","51.48451","-0.60156","IO91QL","HOR","Berkshire","SL4 1QF","","","🗺️"
"UKBOTA","223","B/G-0022","ROC Post Buckingham","ROC Bunker","51.98472","-0.97775","IO91MX","OXF","Buckinghamshire","MK18 1SZ","","","🗺️"
"UKBOTA","223","B/G-0023","ROC Post Stony Stratford","ROC Bunker","52.06466","-0.87089","IO92NB","OXF","Northamptonshire","MK19 6FL","","","🗺️"
"UKBOTA","223","B/G-0024","ROC Post Whitchurch Master Post","ROC Bunker","51.88218","-0.84743","IO91NV","OXF","Buckinghamshire","HP22 4JJ","true","","🗺️"
"UKBOTA","223","B/G-0025","ROC Post Princes Risborough","ROC Bunker","51.70831","-0.84071","IO91NQ","OXF","Buckinghamshire","HP27 9NL","","","🗺️"
"UKBOTA","223","B/G-0026","ROC Post Weston Turville","ROC Bunker","51.80016","-0.76555","IO91OT","OXF","Buckinghamshire","HP22 5QY","","","🗺️"
"UKBOTA","223","B/G-0027","ROC Post Bletchley","ROC Bunker","51.98225","-0.72444","IO91PX","OXF","Buckinghamshire","MK2 3DS","","","🗺️"
"UKBOTA","223","B/G-0028","ROC Post Olney Master Post","ROC Bunker","52.10246","-0.69985","IO92PC","BED","Buckinghamshire","MK16 9NN","true","","🗺️"
"UKBOTA","223","B/G-0029","ROC Post Cheddington","ROC Bunker","51.84412","-0.67391","IO91PU","OXF","Buckinghamshire","LU7 0RS","","","🗺️"
"UKBOTA","223","B/G-0030","ROC Post Great Missenden","ROC Bunker","51.71022","-0.66480","IO91QR","OXF","Buckinghamshire","HP16 0RW","","","🗺️"
"UKBOTA","223","B/G-0031","ROC Post Marlow","ROC Bunker","51.57496","-0.76935","IO91ON","OXF","Buckinghamshire","SL7 1HF","","","🗺️"
"UKBOTA","223","B/G-0032","ROC Post Beaconsfield","ROC Bunker","51.59533","-0.66673","IO91PO","OXF","Buckinghamshire","HP9 1XD","","","🗺️"
"UKBOTA","223","B/G-0033","ROC Post Parson Drove","ROC Bunker","52.66693","0.03808","JO02AQ","NOR","Cambridgeshire","PE13 4LD","","","🗺️"
"UKBOTA","223","B/G-0034","ROC Post Whittlesey","ROC Bunker","52.56574","-0.10561","IO92WN","BED","Cambridgeshire","PE7 1YZ","","","🗺️"
"UKBOTA","223","B/G-0035","ROC Post Caxton","ROC Bunker","52.21557","-0.09727","IO92WF","BED","Cambridgeshire","CB23 3PG","","","🗺️"
"UKBOTA","223","B/G-0036","ROC Post Arrington","ROC Bunker","52.13441","-0.07121","IO92XD","BED","Cambridgeshire","SG8 0BG","","","🗺️"
"UKBOTA","223","B/G-0037","ROC Post Benwick","ROC Bunker","52.48073","-0.03121","IO92XL","BED","Cambridgeshire","PE26 2XT","","","🗺️"
"UKBOTA","223","B/G-0038","ROC Post March","ROC Bunker","52.53431","0.06938","JO02AM","NOR","Cambridgeshire","PE15 9QD","","","🗺️"
"UKBOTA","223","B/G-0039","ROC Post Willingham","ROC Bunker","52.26550","0.06710","JO02AG","BED","Cambridgeshire","CB24 3AT","","","🗺️"
"UKBOTA","223","B/G-0040","ROC Post Harston","ROC Bunker","52.12957","0.09090","JO02BD","BED","Cambridgeshire","CB22 7NZ","","","🗺️"
"UKBOTA","223","B/G-0041","ROC Post Sutton Master Post","ROC Bunker","52.38099","0.11584","JO02BJ","NOR","Cambridgeshire","CB6 2PD","true","","🗺️"
"UKBOTA","223","B/G-0042","ROC Post Manea","ROC Bunker","52.47813","0.16895","JO02CL","NOR","Cambridgeshire","PE15 0US","","","🗺️"
"UKBOTA","223","B/G-0043","ROC Post Cherry Hinton Master Post","ROC Bunker","52.16930","0.18109","JO02CE","COL","Cambridgeshire","CB21 5EQ","true","","🗺️"
"UKBOTA","223","B/G-0044","ROC Post Stretham","ROC Bunker","52.35159","0.21884","JO02CI","NOR","Cambridgeshire","CB6 3JH","","","🗺️"
"UKBOTA","223","B/G-0045","ROC Post Linton","ROC Bunker","52.09503","0.26696","JO02DC","COL","Cambridgeshire","CB21 4NW","","","🗺️"
"UKBOTA","223","B/G-0046","ROC Post Bottisham","ROC Bunker","52.23670","0.28311","JO02DF","COL","Cambridgeshire","CB25 0LU","","","🗺️"
"UKBOTA","223","B/G-0047","ROC Post Littleport","ROC Bunker","52.44275","0.29934","JO02DK","NOR","Cambridgeshire","CB6 1HP","","","🗺️"
"UKBOTA","223","B/G-0048","ROC Post Fordham","ROC Bunker","52.37107","0.35041","JO02EI","NOR","Cambridgeshire","CB7 5UG","","","🗺️"
"UKBOTA","223","B/G-0049","ROC Post Caldy","ROC Bunker","53.38110","-3.14535","IO83KJ","NWA","Cheshire","CH48 1PQ","","","🗺️"
"UKBOTA","223","B/G-0050","ROC Post Neston Master Post","ROC Bunker","53.30907","-3.02981","IO83LH","NWA","Cheshire","CH63 4JJ","true","","🗺️"
"UKBOTA","223","B/G-0051","ROC Post Saughall","ROC Bunker","53.21705","-2.95017","IO83MF","NWA","Cheshire","CH1 6AG","","","🗺️"
"UKBOTA","223","B/G-0052","ROC Post Aldford","ROC Bunker","53.12155","-2.87230","IO83NC","NWA","Cheshire","CH3 6HU","","","🗺️"
"UKBOTA","223","B/G-0053","ROC Post Helsby Master Post","ROC Bunker","53.27350","-2.76263","IO83OG","SHR","Cheshire","WA6 9PL","true","","🗺️"
"UKBOTA","223","B/G-0054","ROC Post Malpas","ROC Bunker","53.02644","-2.75513","IO83OA","SHR","Cheshire","SY14 8DQ","","","🗺️"
"UKBOTA","223","B/G-0055","ROC Post Tarporley","ROC Bunker","53.16985","-2.69018","IO83PE","SHR","Cheshire","CW6 0EF","","","🗺️"
"UKBOTA","223","B/G-0056","ROC Post Preston on the Hill","ROC Bunker","53.33226","-2.64565","IO83QH","SHR","Cheshire","WA4 4BS","","","🗺️"
"UKBOTA","223","B/G-0057","ROC Post Faddiley","ROC Bunker","53.07380","-2.61745","IO83QB","SHR","Cheshire","CW5 8JE","","","🗺️"
"UKBOTA","223","B/G-0058","ROC Post Audlem","ROC Bunker","52.99989","-2.50657","IO82RX","SHR","Cheshire","CW3 0HF","","","🗺️"
