"UKBOTA Reference","Bunker Name","Type","Area","Latitude","Longitude","OSGR","WAB","Nearest Postcode","Maidenhead"
"B/G-0001","ROC Post Pavenham","ROC Bunker","Bedfordshire","52.189827","-0.580413","SP 9714 5557","SP95","MK43 7NB","IO92RE"
"B/G-0002","ROC Post Toddington","ROC Bunker","Bedfordshire","51.926889","-0.533749","TL 0092 2639","TL02","LU5 6JL","IO91RW"
"B/G-0003","ROC Post Ampthill","ROC Bunker","Bedfordshire","52.029724","-0.502983","TL 0280 3787","TL03","MK45 2GT","IO92RA"
"B/G-0004","ROC Post Riseley","ROC Bunker","Bedfordshire","52.251622","-0.467544","TL 0471 6260","TL06","MK44 1DP","IO92SG"
"B/G-0005","ROC Post Ravensden","ROC Bunker","Bedfordshire","52.16761","-0.417207","TL 0835 5333","TL05","MK41 0JJ","IO92SE"
"B/G-0006","ROC Post Sandy","ROC Bunker","Bedfordshire","52.133435","-0.31921","TL 1514 4968","TL14","MK44 3DE","IO92UD"
"B/G-0007","ROC Post Shefford","ROC Bunker","Bedfordshire","52.032471","-0.313669","TL 1578 3846","TL13","SG17 5PT","IO92UA"
"B/G-0008","ROC Post Ashbury Master Post","ROC Bunker","Berkshire","51.559454","-1.610189","SU 2712 8458","SU28","SN6 8LZ","IO91EN"
"B/G-0009","ROC Post Great Shefford","ROC Bunker","Berkshire","51.46301","-1.460012","SU 3761 7392","SU37","RG17 7BP","IO91GL"
"B/G-0010","ROC Post Wantage","ROC Bunker","Oxfordshire","51.581686","-1.419785","SU 4030 8714","SU48","OX12 8PB","IO91GN"
"B/G-0011","ROC Post Longworth","ROC Bunker","Berkshire","51.693824","-1.405042","SU 4122 9962","SU49","OX13 5LT","IO91HQ"
"B/G-0012","ROC Post Newbury","ROC Bunker","Berkshire","51.38352","-1.352743","SU 4514 6514","SU46","RG14 6RD","IO91HJ"
"B/G-0013","ROC Post East Ilsley","ROC Bunker","Berkshire","51.523336","-1.304928","SU 4832 8072","SU48","RG20 7DJ","IO91IM"
"B/G-0014","ROC Post Cold Ash","ROC Bunker","Berkshire","51.420702","-1.254568","SU 5193 6934","SU56","RG18 9HT","IO91IK"
"B/G-0015","ROC Post Streatley Master Post","ROC Bunker","Berkshire","51.516193","-1.173892","SU 5742 8002","SU58","RG8 9RE","IO91JM"
"B/G-0016","ROC Post Bradfield","ROC Bunker","Berkshire","51.43696","-1.134319","SU 6027 7124","SU67","RG7 6AD","IO91KK"
"B/G-0017","ROC Post Arborfield","ROC Bunker","Berkshire","51.390322","-0.911281","SU 7585 6626","SU76","RG2 9JS","IO91NJ"
"B/G-0018","ROC Post Shurlock Row","ROC Bunker","Berkshire","51.465627","-0.822683","SU 8188 7473","SU87","RG10 0PJ","IO91OL"
"B/G-0019","ROC Post Crowthorne","ROC Bunker","Berkshire","51.372562","-0.787574","SU 8449 6442","SU86","RG45 6SR","IO91OI"
"B/G-0020","ROC Post Ascot","ROC Bunker","Berkshire","51.416746","-0.674379","SU 9228 6947","SU96","SL5 7LJ","IO91PK"
"B/G-0021","ROC Post Windsor","ROC Bunker","Berkshire","51.48451","-0.601557","SU 9720 7710","SU97","SL4 1QE","IO91QL"
"B/G-0022","ROC Post Buckingham","ROC Bunker","Buckinghamshire","51.984719","-0.977749","SP 7030 3230","SP73","MK18 1SZ","IO91MX"
"B/G-0023","ROC Post Stony Stratford","ROC Bunker","Buckinghamshire","52.064663","-0.870893","SP 7750 4130","SP74","MK19 6FL","IO92NB"
"B/G-0024","ROC Post Whitchurch","ROC Bunker","Buckinghamshire","51.882185","-0.847429","SP 7943 2103","SP72","HP22 4JJ","IO91NV"
"B/G-0025","ROC Post Princes Risborough","ROC Bunker","Buckinghamshire","51.708314","-0.840709","SP 8020 0170","SP80","HP27 9NL","IO91NQ"
