"hHillKey","hName","hHeightM","hLatitude","hLongitude","hFullReference","hActive"
34,"Stob Garbh",959.0,56.3648,-4.57371,"GM/HSS-118","Y"
35,"Beinn Tulaichean",946.0,56.3422,-4.56332,"GM/HSS-035","Y"
53,"Meall Cala",674.0,56.2839,-4.41128,"GM/HSS-217","Y"
75,"Beinn a'Chleibh",916.3,56.3902,-4.83563,"GM/HSS-022","Y"
78,"Beinn Chorranach",888.0,56.2458,-4.81936,"GM/HSS-030","Y"
92,"Dun Corr-bhile",322.3,56.2502,-5.06222,"GM/HSS-139","Y"
115,"Meall na Aighean",981.0,56.62,-4.12996,"GM/HCS-080","Y"
118,"Meall Garbh",968.0,56.6374,-4.20746,"GM/HCS-077","Y"
142,"An Stuc",1117.0,56.5601,-4.21626,"GM/HCS-006","Y"
144,"Beinn Ghlas",1103.0,56.536,-4.23698,"GM/HCS-012","Y"
179,"Aonach Eagach - Meall Dearg",952.2,56.6807,-5.00327,"GM/HWS-104","Y"
183,"A'Chailleach",901.9,56.6781,-4.95749,"GM/HWS-106","Y"
192,"Stob Coire nan Lochan",1115.0,56.6488,-5.02181,"GM/HWS-032","Y"
194,"Stob Coire Sgreamhach",1072.0,56.6383,-5.01028,"GM/HWS-164","Y"
197,"Stob na Doire",1011.0,56.6368,-4.9242,"GM/HWS-034","Y"
200,"Stob an Fhuarain",968.0,56.6248,-5.06905,"GM/HWS-133","Y"
203,"Buachaille Etive Mor - Stob na Broige",953.3,56.6299,-4.95115,"GM/HWS-033","Y"
221,"Meall Ban",654.0,56.5971,-5.26589,"GM/HWS-097","Y"
244,"Stob Diamh",998.0,56.4313,-5.09138,"GM/HWS-165","Y"
273,"Ben Inverveigh",639.0,56.504,-4.81049,"GM/HWS-031","Y"
275,"Meall Buidhe",624.0,56.4949,-4.95325,"GM/HWS-100","Y"
281,"Aonach Mor",1221.0,56.8129,-4.96174,"GM/HWS-007","Y"
292,"Stob a'Choire Mheadhoin",1105.0,56.8237,-4.76018,"GM/HWS-162","Y"
313,"Stob Coire a'Chairn",981.4,56.7507,-4.96903,"GM/HWS-163","Y"
333,"Meall Mor",721.0,56.7947,-4.81698,"GM/HWS-113","Y"
334,"Meall an t-Suidhe",711.0,56.8102,-5.05008,"GM/HWS-093","Y"
336,"Meall a'Bhainne",633.0,56.7574,-4.77253,"GM/HWS-082","Y"
340,"Meall na Duibhe",571.3,56.7188,-4.89961,"GM/HWS-115","Y"
344,"Cruim Leacainn",231.1,56.8818,-5.01048,"GM/HWS-173","Y"
348,"Beinn Eibhinn",1103.2,56.8252,-4.54208,"GM/HWS-022","Y"
365,"Sgor Choinnich",929.0,56.7804,-4.54894,"GM/HWS-132","Y"
367,"Creag Pitridh",924.0,56.8997,-4.48495,"GM/HWS-062","Y"
372,"Beinn a'Chumhainn",901.9,56.8053,-4.51951,"GM/HWS-131","Y"
376,"Beinn Eilde",674.0,56.9339,-4.36315,"GM/HWS-023","Y"
386,"A'Mharconaich",975.0,56.857,-4.29068,"GM/HCS-004","Y"
390,"A'Bhuidheanach Bheag",936.0,56.8704,-4.19884,"GM/HCS-002","Y"
398,"Glas Mheall Mor",830.0,56.775,-4.35315,"GM/HCS-017","Y"
418,"Carn an Fhidleir Lorgaidh",849.0,56.9636,-3.88306,"GM/HCS-066","Y"
419,"Meall Odhar a'Chire",834.0,56.8822,-3.97744,"GM/HCS-067","Y"
430,"Beinn Iutharn Bheag",953.0,56.894,-3.53606,"GM/HCS-015","Y"
435,"The Cairnwell",933.0,56.8795,-3.42128,"GM/HCS-091","Y"
438,"Carn Aosda",917.0,56.8957,-3.42321,"GM/HCS-022","Y"
442,"Sgor Mor",887.0,56.9253,-3.45557,"GM/HCS-005","Y"
443,"Meall a'Choire Bhuidhe",868.0,56.821,-3.53836,"GM/HCS-061","Y"
447,"Meall Uaine",794.0,56.7893,-3.45745,"GM/HCS-063","Y"
449,"Creag an t-Sithein",634.4,56.7739,-3.58577,"GM/HCS-044","Y"
451,"Creag nam Brataichean",538.0,56.7358,-3.45151,"GM/HCS-050","Y"
452,"Meall Dail Min",536.0,56.8011,-3.81595,"GM/HCS-076","Y"
