Country,Lighthouse Name,DXCC,Continent,Location,ILLW,Status,Latitude,Longitude,Location Source
Argentina,Atalaya (old) ,L0,SA,35º01'S 57º32'W,AR0001,D,-35.01667,-57.53333,LAT_LONG
Argentina,Baliza Escarpados ,L0,SA,-54.818095 -68.187677,AR0002,D,-54.8181,-68.18768,LAT_LONG
Argentina,Baliza Tripode ,L0,SA,-38.95006 -61.93342,AR0004,D,-38.95006,-61.93342,LAT_LONG
Argentina,Beauvoir,L0,SA,"-47.7532096,-65.8928163,198",AR0005,,-47.75321,-65.89282,LAT_LONG
Argentina,Cabo Blanco,L0,SA,"-47.202259,-65.738636,194",AR0006,,-47.20226,-65.73864,LAT_LONG
Argentina,Chubut ,L0,SA,"-43.372079,-65.046594,208",AR0007,D,-43.37208,-65.04659,LAT_LONG
Argentina,Claromecó,L0,SA,"-38.858132,-60.051865,222",AR0008,,-38.85813,-60.05186,LAT_LONG
Argentina,El Rincón,L0,SA,"-39.383987,-62.014641,221",AR0009,,-39.38399,-62.01464,LAT_LONG
Argentina,Miramar ,L0,SA,38°17'S 57°50'W,AR0010,D,-38.28333,-57.83333,LAT_LONG
Argentina,Punta HermengoPunta Hermengo ,L0,SA,38°17'S 57°50'W,AR0011,D,-38.28333,-57.83333,LAT_LONG
Argentina,Punta Médanos,L0,SA,"-36.883019,-56.674819,114",AR0012,,-36.88302,-56.67482,LAT_LONG
Argentina,Punta Mogotes,L0,SA,"-38.09167,-57.545035,225",AR0013,,-38.09167,-57.54504,LAT_LONG
Argentina,Punta Ninfas ,L0,SA,"-42.968906,-64.31478,209",AR0014,D,-42.96891,-64.31478,LAT_LONG
Argentina,Quequén,L0,SA,"-38.567156,-58.689265,223",AR0015,,-38.56716,-58.68927,LAT_LONG
Argentina,Recalada a Bahía Blanca / Bahía Blanca Landfall / Monte Hermoso,L0,SA,"-38.990787,-61.259927,222",AR0016,,-38.99079,-61.25993,LAT_LONG
Argentina,Río Negro,L0,SA,"-41.057754,-62.8389,215",AR0017,,-41.05775,-62.8389,LAT_LONG
Argentina,Cabo San Antonio,L0,SA,"-36.306657,-56.77324,230",AR0018,,-36.30666,-56.77324,LAT_LONG
Argentina,Segunda Barranca,L0,SA,"-40.7753672,-62.2721192,612",AR0019,,-40.77537,-62.27212,LAT_LONG
Argentina,Stella Maris,L0,SA,"-32.4736107,-58.2104091,231",AR0020,,-32.47361,-58.21041,LAT_LONG
Argentina,Cabo Raso ,L0,SA,"-44.345105,-65.235883,204",AR0021,D,-44.3451,-65.23588,LAT_LONG
Argentina,Martín García (Old),L0,SA,"-34.18509,-58.252355,118",AR0022,,-34.18509,-58.25235,LAT_LONG
Argentina,Baliza Necochea Sur ,L0,SA,,AR0023,D,,,
Argentina,Atalaya (new) ,L0,SA,35º01.2'S 57º32.1'W,AR0024,D,-35.01722,-57.53361,LAT_LONG
Argentina,San José ,L0,SA,"-44.512383,-65.28434,204",AR0025,D,-44.51238,-65.28434,LAT_LONG
Argentina,Baliza Chica ,L0,SA,38°58'S 61°54'W,AR0026,D,-38.96667,-61.9,LAT_LONG
Argentina,Cabo Aristizábal ,L0,SA,-45.215994 -66.528107,AR0027,D,-45.21599,-66.52811,LAT_LONG
Argentina,Bahía San Gregorio,L0,SA,"-45.024804,-65.629175,202",AR0028,,-45.0248,-65.62918,LAT_LONG
Argentina,Baliza Puerto Rosales ,L0,SA,38º56'S 62º04'W,AR0029,D,-38.93333,-62.06667,LAT_LONG
Argentina,Baliza Camino ,L0,SA,40°46'S 64°50'W,AR0030,D,-40.76667,-64.83333,LAT_LONG
Argentina,Morro Nuevo ,L0,SA,"-42.873008,-64.144557,209",AR0031,D,-42.87301,-64.14456,LAT_LONG
Argentina,Cabo Vírgenes,L0,SA,"-52.333264,-68.356386,175",AR0032,,-52.33326,-68.35639,LAT_LONG
Argentina,Golfo Nuevo,L0,SA,"-42.721543,-65.030032,105",AR0033,,-42.72154,-65.03003,LAT_LONG
Argentina,Querandí,L0,SA,"-37.464342,-57.111576,113",AR0034,,-37.46434,-57.11158,LAT_LONG
Argentina,Punta Tehuelche ,L0,SA,"-42.404886,-64.302914,211",AR0035,D,-42.40489,-64.30291,LAT_LONG
Argentina,Cabo San Jorge,L0,SA,"-45.778913,-67.37973,199",AR0036,,-45.77891,-67.37973,LAT_LONG
Argentina,Punta Páramo,L0,SA,"-53.140811,-68.20717,171",AR0037,,-53.14081,-68.20717,LAT_LONG
Argentina,Punta Flecha ,L0,SA,"-42.645565,-64.969057,210",AR0038,D,-42.64557,-64.96906,LAT_LONG
Argentina,San Matías,L0,SA,"-40.822302,-64.717353,216",AR0039,,-40.8223,-64.71735,LAT_LONG
Argentina,Puerto Nuevo Breakwater Buenos Aires Outer Breakwall ,L0,SA,"-34.5917673,-58.3558573,745",AR0040,D,-34.59177,-58.35586,LAT_LONG
Argentina,Punta Conscriptos ,L0,SA,"-42.888932,-64.701866,209",AR0041,D,-42.88893,-64.70187,LAT_LONG
Argentina,Punta Delgada,L0,SA,"-42.766269,-63.637579,105",AR0042,,-42.76627,-63.63758,LAT_LONG
Argentina,Acantilado / Puerto Madryn ,L0,SA,"-42.7934236,-64.9499241,297",AR0043,D,-42.79342,-64.94992,LAT_LONG
Argentina,San Sebastián,L0,SA,"-53.324545,-68.158123,171",AR0044,,-53.32455,-68.15812,LAT_LONG
Argentina,"Baliza escollera Norte, Mar del Plata ",L0,SA,,AR0045,D,,,
Argentina,"Baliza escollera Sur, Mar del Plata ",L0,SA,"-38.038907,-57.518041,113",AR0046,D,-38.03891,-57.51804,LAT_LONG
Argentina,Magallanes,L0,SA,"-52.664229,-68.602147,173",AR0047,,-52.66423,-68.60215,LAT_LONG
Argentina,Punta Lobos,L0,SA,"-43.791888,-65.332394,206",AR0048,,-43.79189,-65.33239,LAT_LONG
Argentina,Punta Observatorio ,L0,SA,"-54.815935, -68.299457,18",AR0049,D,-54.81593,-68.29946,LAT_LONG
Argentina,San Juan de Salvamento,L0,SA,"-54.732349,-63.856975,165",AR0050,,-54.73235,-63.85698,LAT_LONG
Argentina,Año Nuevo / Isla Observatorio,L0,SA,-54.657994 -64.132427,AR0051,,-54.65799,-64.13243,LAT_LONG
Argentina,Islotes les Éclaireurs,L0,SA,-54.871461 -68.08318,AR0052,,-54.87146,-68.08318,LAT_LONG
Austria,Podersdorf-am-See (Lake Neusiedlersee),OE,EU,"47.8604078,16.826692,99",AT0002,,47.86041,16.82669,LAT_LONG
