wotaid,sotaid,book,name,height,reference,humpid,gridid,x,y,lat,long
1,1,S,Scafell Pike,978,NY215072,NULL,IO84JK,321500,507200,54.454098,-3.2122852
2,NULL,S,Scafell,964,NY206064,44,IO84JK,320600,506400,54.446770,-3.2259484
3,3,E,Helvellyn,950,NY341151,NULL,IO84LM,334100,515100,54.526877,-3.0197471
4,4,N,Skiddaw,931,NY260290,NULL,IO84KP,326000,529000,54.650648,-3.1483845
5,NULL,S,Great End,910,NY226083,NULL,IO84JL,322600,508300,54.464151,-3.1956112
6,NULL,S,Bowfell,902,NY244064,6,IO84KK,324400,506400,54.447351,-3.1673618
7,5,W,Great Gable,899,NY211103,NULL,IO84JL,321100,510300,54.481889,-3.2192814
8,6,W,Pillar,892,NY171121,NULL,IO84IL,317100,512100,54.497423,-3.2815080
9,NULL,E,Nethermost Pike,891,NY344141,NULL,IO84LM,334400,514100,54.517931,-3.0148896
10,NULL,E,Catstycam,890,NY348158,NULL,IO84LM,334800,515800,54.533258,-3.0090883
11,NULL,S,Esk Pike,885,NY236075,17,IO84JK,323600,507500,54.457114,-3.1799803
12,NULL,E,Raise,883,NY342174,NULL,IO84LN,334200,517400,54.547557,-3.0187170
13,7,E,Fairfield,873,NY358117,NULL,IO84ML,335800,511700,54.496545,-2.9927432
14,8,N,Blencathra,868,NY323277,NULL,IO84LP,332300,527700,54.639854,-3.0504636
15,NULL,N,Skiddaw Little Man,865,NY266277,NULL,IO84KP,326600,527700,54.639056,-3.1387610
16,NULL,E,White Side,863,NY337166,NULL,IO84LM,333700,516600,54.540303,-3.0262647
17,NULL,S,Crinkle Crags,859,NY248048,13,IO84KK,324800,504800,54.433034,-3.1607880
18,NULL,E,Dollywagon Pike,858,NY346130,NULL,IO84LM,334600,513000,54.508073,-3.0115563
19,NULL,E,Great Dodd,857,NY341205,23,IO84LN,334100,520500,54.575398,-3.0209585
20,9,NW,Grasmoor,852,NY174203,NULL,IO84IN,317400,520300,54.571146,-3.2791796
21,NULL,E,Stybarrow Dodd,843,NY342189,NULL,IO84LN,334200,518900,54.561035,-3.0190530
22,10,E,St. Sunday Crag,841,NY369134,NULL,IO84MM,336900,513400,54.511959,-2.9761263
23,NULL,W,Scoat Fell,841,NY159113,NULL,IO84IL,315900,511300,54.490038,-3.2998029
24,NULL,NW,Eel Crag (Crag Hill),839,NY192203,12,IO82JN,319200,520300,54.571437,-3.2513445
25,11,FE,High Street,828,NY440110,NULL,IO84NL,344000,511000,54.491228,-2.8660214
26,NULL,W,Red Pike (Wasdale),826,NY165106,NULL,IO84IL,316500,510600,54.483848,-3.2903449
27,NULL,E,Hart Crag,822,NY369112,NULL,IO84ML,336900,511200,54.492191,-2.9756552
28,NULL,W,Steeple,819,NY157116,NULL,IO84IL,315700,511600,54.492700,-3.3029753
29,12,W,High Stile,807,NY167147,NULL,IO84IM,316700,514700,54.520718,-3.2884174
